,시도,군구,관광지,내/외국인,총계(2022.01 ~ 2022.12),인원계,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
124,강원특별자치도,속초시,한화리조트(골프장),내국인,83719,83719,1713.0,3997.0,4813.0,8558.0,9494.0,8938.0,9685.0,9604.0,8630.0,7768.0,7256.0,3263.0
125,강원특별자치도,속초시,해피 아울 하우스,내국인,10110,10110,410.0,336.0,468.0,497.0,802.0,701.0,1250.0,1452.0,980.0,1302.0,998.0,914.0
126,강원특별자치도,속초시,화랑도 체험장,내국인,1477,1477,20.0,30.0,30.0,185.0,142.0,253.0,68.0,137.0,244.0,117.0,79.0,172.0
127,강원특별자치도,삼척시,대금굴,내국인,114748,114748,5972.0,5659.0,1854.0,5711.0,10090.0,12186.0,15232.0,15341.0,10603.0,15226.0,9583.0,7291.0
128,강원특별자치도,삼척시,도계 나무나라,내국인,16058,16058,1225.0,869.0,513.0,771.0,1720.0,1330.0,1832.0,2668.0,1723.0,1533.0,1044.0,830.0
129,강원특별자치도,삼척시,도계 유리나라,내국인,21491,21491,1453.0,1209.0,602.0,955.0,1986.0,1761.0,2517.0,3878.0,2113.0,2327.0,1623.0,1067.0
130,강원특별자치도,삼척시,맹방비치캠핑장,내국인,18548,18548,1032.0,922.0,436.0,1078.0,1426.0,1586.0,2262.0,2834.0,1262.0,2514.0,1512.0,1684.0
131,강원특별자치도,삼척시,블랙밸리CC,내국인,72038,72038,,,,8612.0,9701.0,9236.0,9716.0,9043.0,7619.0,7914.0,6552.0,3645.0
132,강원특별자치도,삼척시,삼척 활기치유의 숲,내국인,28727,28727,985.0,629.0,445.0,2167.0,3110.0,2991.0,3086.0,3186.0,2856.0,4142.0,3459.0,1671.0
133,강원특별자치도,삼척시,삼척시립박물관,내국인,10356,10356,347.0,362.0,121.0,492.0,1122.0,866.0,939.0,974.0,1488.0,1616.0,1166.0,863.0
134,강원특별자치도,삼척시,삼척해상케이블카,내국인,224645,224645,14016.0,10150.0,4698.0,13675.0,23837.0,23352.0,26722.0,32547.0,19449.0,24732.0,19069.0,12398.0
135,강원특별자치도,삼척시,수로부인 헌화공원,내국인,78307,78307,5133.0,4407.0,1849.0,5791.0,8576.0,8279.0,6717.0,8159.0,5889.0,11671.0,7241.0,4595.0
136,강원특별자치도,삼척시,어촌민속전시관,내국인,106869,106869,5660.0,4400.0,2868.0,7139.0,10334.0,12913.0,9957.0,10244.0,8374.0,18726.0,10297.0,5957.0
137,강원특별자치도,삼척시,장호비치캠핑장,내국인,63797,63797,4160.0,7846.0,10830.0,4174.0,4950.0,4946.0,5702.0,5806.0,4092.0,4281.0,3832.0,3178.0
138,강원특별자치도,삼척시,죽서루,내국인,79093,79093,3873.0,3868.0,2224.0,5413.0,7728.0,6651.0,5765.0,5866.0,6190.0,14714.0,11928.0,4873.0
139,강원특별자치도,삼척시,초곡용굴촛대바위길,내국인,153018,153018,7016.0,12794.0,11321.0,10541.0,17171.0,19010.0,17970.0,18271.0,14669.0,4907.0,13822.0,5526.0
140,강원특별자치도,삼척시,추추파크,내국인,145561,145561,4316.0,3678.0,3317.0,11955.0,28080.0,17646.0,14143.0,16735.0,12391.0,18289.0,9324.0,5687.0
141,강원특별자치도,삼척시,해양레일바이크,내국인,219995,219995,10128.0,3106.0,1497.0,16354.0,27176.0,24066.0,25308.0,34106.0,21530.0,31850.0,18928.0,5946.0
142,강원특별자치도,삼척시,환선굴,내국인,209800,209800,11189.0,8943.0,3569.0,8917.0,15967.0,21402.0,33504.0,44865.0,13958.0,25257.0,13001.0,9228.0
143,강원특별자치도,홍천군,가리산자연휴양림,내국인,70968,70968,3706.0,3513.0,2090.0,4382.0,6233.0,6467.0,9497.0,10235.0,6726.0,8568.0,5370.0,4181.0
144,강원특별자치도,홍천군,비콘힐스골프클럽,내국인,91240,91240,0.0,2614.0,5865.0,10386.0,11362.0,10191.0,8883.0,8642.0,11454.0,12350.0,8710.0,783.0
145,강원특별자치도,홍천군,수타사농촌테마공원,내국인,65131,65131,2664.0,2991.0,2900.0,6055.0,8333.0,6179.0,6479.0,5582.0,7461.0,10118.0,4706.0,1663.0
146,강원특별자치도,홍천군,알파카월드,내국인,168181,168181,14632.0,14626.0,10023.0,20975.0,24867.0,13435.0,9934.0,13669.0,12659.0,19387.0,5356.0,8618.0
147,강원특별자치도,홍천군,팔봉산관광지,내국인,39975,39975,0.0,0.0,2092.0,5729.0,5981.0,5747.0,3058.0,2677.0,4598.0,6215.0,3668.0,210.0
