,광역지자체명,기초지자체명,광역지자체 방문자 수,기초지자체 방문자 수,광역지자체 지출액,기초지자체 지출액,인당 지출액
215,전북,순창군,78085336.0,4239177.5,793514936.0,8961740.0,2.1140280160479246
216,전북,고창군,78085336.0,8382536.5,793514936.0,26905176.0,3.209670008594654
217,전북,부안군,78085336.0,9281198.5,793514936.0,27782901.0,2.9934604889659453
218,제주특별자치도,제주시,61697454.0,58346313.5,1242270885.0,797862143.0,13.674593905577256
219,제주특별자치도,서귀포시,61697454.0,44671120.0,1242270885.0,444408742.0,9.948457571692852
220,충남,공주시,135288137.0,20566564.0,1179812723.0,69357875.0,3.3723608377169856
221,충남,보령시,135288137.0,16599927.0,1179812723.0,70370877.0,4.239228100219959
222,충남,아산시,135288137.0,28073206.0,1179812723.0,148317756.0,5.28324965805473
223,충남,서산시,135288137.0,14447250.5,1179812723.0,69595283.0,4.817199161875126
224,충남,논산시,135288137.0,12961768.5,1179812723.0,41509380.0,3.202447258643757
225,충남,계룡시,135288137.0,4053609.5,1179812723.0,15435523.0,3.8078465624278808
226,충남,당진시,135288137.0,17877956.5,1179812723.0,86676377.0,4.848226194084318
227,충남,금산군,135288137.0,8343856.5,1179812723.0,19315183.0,2.314898752153755
228,충남,부여군,135288137.0,8860106.0,1179812723.0,50635659.0,5.715017292118175
229,충남,서천군,135288137.0,8117964.0,1179812723.0,16982424.0,2.0919560618894097
230,충남,청양군,135288137.0,4102543.0,1179812723.0,6349719.0,1.5477519674991829
231,충남,홍성군,135288137.0,9644363.5,1179812723.0,37309121.0,3.868489714225309
232,충남,예산군,135288137.0,12067996.0,1179812723.0,39572875.0,3.279158776651898
233,충남,태안군,135288137.0,17386179.5,1179812723.0,62006637.0,3.5664325793944553
234,충남,천안시 동남구,135288137.0,32903573.0,1179812723.0,194441948.0,5.909447828051987
235,충남,천안시 서북구,135288137.0,29618773.0,1179812723.0,251936083.0,8.505959480495697
236,충북,충주시,90106763.5,19487157.5,1036023748.0,146208244.0,7.502799933751241
237,충북,제천시,90106763.5,13438140.5,1036023748.0,73991631.0,5.506091486392779
238,충북,보은군,90106763.5,5381342.5,1036023748.0,17741473.0,3.2968488811109866
239,충북,옥천군,90106763.5,7983090.0,1036023748.0,16355830.0,2.048809420913456
240,충북,영동군,90106763.5,5316104.0,1036023748.0,10113713.0,1.9024671074907489
241,충북,증평군,90106763.5,4339173.0,1036023748.0,19392629.0,4.469199315169043
242,충북,진천군,90106763.5,10432724.0,1036023748.0,57674987.0,5.528276891059324
243,충북,괴산군,90106763.5,8665883.5,1036023748.0,14962289.0,1.726573984060598
244,충북,음성군,90106763.5,14265307.0,1036023748.0,73776252.0,5.171725501596286
245,충북,단양군,90106763.5,7745454.5,1036023748.0,32328032.0,4.17380697285098
246,충북,청주시 상당구,90106763.5,23031253.5,1036023748.0,117185244.0,5.0880966596108195
247,충북,청주시 서원구,90106763.5,21132539.0,1036023748.0,114158345.0,5.4020174764613
248,충북,청주시 흥덕구,90106763.5,27041321.0,1036023748.0,219734890.0,8.125893331912298
249,충북,청주시 청원구,90106763.5,20412797.5,1036023748.0,122400189.0,5.996247648074695
